model,n_forecasts,calib_95,calib_50,relative_wis,relative_abs_error
CMU-TimeSeries,4052,0.69,0.35,0.76,0.78
Covid19Sim-Simulator,5098,0.31,0.09,0.94,0.79
COVIDhub-baseline,5896,0.84,0.48,1,1
COVIDhub-ensemble,5296,0.87,0.47,0.63,0.7
CU-select,4896,0.81,0.4,1,1.08
GT-DeepCOVID,4990,0.83,0.37,0.83,0.9
IHME-CurveFit,3947,0.68,0.3,0.9,0.95
IowaStateLW-STEM,4125,0.45,0.18,1.05,0.96
JHU_IDD-CovidSP,5896,0.8,0.35,1.11,1.23
Karlen-pypm,4096,0.82,0.42,0.86,0.91
LANL-GrowthRate,5096,0.91,0.42,0.9,1.03
MOBS-GLEAM_COVID,5896,0.69,0.38,1.01,0.99
NotreDame-mobility,4896,0.5,0.24,1.42,1.25
OliverWyman-Navigator,5280,0.85,0.47,0.69,0.73
PSI-DRAFT,4492,0.37,0.16,1.74,1.48
RobertWalraven-ESG,4470,0.09,0.04,1.92,1.51
UA-EpiCovDA,4896,0.68,0.36,0.92,0.97
UCLA-SuEIR,5096,0.2,0.07,1.21,0.99
UMass-MechBayes,5896,0.95,0.58,0.67,0.73
UMich-RidgeTfReg,3435,0.35,0.13,1.5,1.35
USACE-ERDC_SEIR,4646,0.15,0.05,2.46,1.96
UT-Mobility,5297,0.7,0.32,1.41,1.43
YYG-ParamSearch,4196,0.82,0.46,0.65,0.68
